Image number,Rank5,Rank4,Rank3,Rank2,Rank1,Label probability,Top 1 evaluation,Top 5 evaluation
1,0.07497721165418625,0.09304548054933548,0.11548718810081482,0.17540805041790009,0.20298750698566437,0.20298750698566437,True,True
2,0.018241681158542633,0.018422488123178482,0.08648187667131424,0.2509682774543762,0.5729526877403259,0.5729526877403259,True,True
3,0.042181942611932755,0.062309134751558304,0.13128268718719482,0.13251490890979767,0.3903937041759491,0.3903937041759491,True,True
4,0.020749686285853386,0.021085936576128006,0.0629226490855217,0.09942737966775894,0.5847858786582947,0.5847858786582947,True,True
5,0.09053753316402435,0.09951277822256088,0.1309281289577484,0.13134407997131348,0.3706403374671936,0.3706403374671936,True,True
6,0.028901856392621994,0.03225594758987427,0.033068615943193436,0.03443639352917671,0.085678830742836,0.085678830742836,False,False
7,0.0632617250084877,0.06473637372255325,0.07259497046470642,0.11097951233386993,0.24072006344795227,0.24072006344795227,True,True
8,0.03086891956627369,0.032517533749341965,0.03865639492869377,0.15071918070316315,0.5337220430374146,0.5337220430374146,False,False
9,0.024917973205447197,0.06467625498771667,0.12820345163345337,0.19494496285915375,0.4697785973548889,0.4697785973548889,False,True
10,0.033831607550382614,0.03767506778240204,0.07335054129362106,0.1564563512802124,0.30498579144477844,0.30498579144477844,False,True
11,0.021110909059643745,0.04423701390624046,0.044574614614248276,0.05701221153140068,0.3744784891605377,0.3744784891605377,True,True
12,0.07712265849113464,0.09521359950304031,0.13430024683475494,0.14481090009212494,0.16794496774673462,0.16794496774673462,False,True
13,0.024054158478975296,0.027466140687465668,0.03993983939290047,0.07292664796113968,0.18204428255558014,0.18204428255558014,False,False
14,0.03118371218442917,0.05414910614490509,0.05637439712882042,0.13827550411224365,0.35512983798980713,0.35512983798980713,False,False
15,0.021896032616496086,0.022521477192640305,0.02541842870414257,0.04119696468114853,0.8082032203674316,0.8082032203674316,True,True
16,0.05362109839916229,0.07401066273450851,0.11104576289653778,0.19644483923912048,0.21576623618602753,0.21576623618602753,True,True
17,0.06048921123147011,0.062002502381801605,0.06797710061073303,0.12895840406417847,0.1501166969537735,0.1501166969537735,False,False
18,0.038992393761873245,0.050759922713041306,0.0980413630604744,0.16041968762874603,0.42441344261169434,0.42441344261169434,True,True
19,0.044257596135139465,0.07116422802209854,0.10662201792001724,0.12896491587162018,0.15468235313892365,0.15468235313892365,False,True
20,0.042545136064291,0.08890911191701889,0.10578113794326782,0.27478256821632385,0.2956356704235077,0.2956356704235077,False,True
