Image number,Rank5,Rank4,Rank3,Rank2,Rank1,Label probability,Top 1 evaluation,Top 5 evaluation
1,0.035229720175266266,0.03631463274359703,0.037709563970565796,0.1652747541666031,0.4261835217475891,0.4261835217475891,False,False
2,0.030834108591079712,0.03329431265592575,0.03377774730324745,0.1702144891023636,0.24465978145599365,0.24465978145599365,False,False
3,0.024379098787903786,0.026097452268004417,0.027629513293504715,0.3633166253566742,0.5216962099075317,0.5216962099075317,True,True
4,0.008974852040410042,0.015292763710021973,0.10085681080818176,0.22394871711730957,0.6235669851303101,0.6235669851303101,False,True
5,0.002947137225419283,0.0038330587558448315,0.06914745271205902,0.3196239173412323,0.5931907892227173,0.5931907892227173,False,True
6,0.000392168149119243,0.0009379630209878087,0.013541162014007568,0.3995083272457123,0.5844897031784058,0.5844897031784058,True,True
7,0.013357028365135193,0.018312884494662285,0.025605767965316772,0.20591546595096588,0.7042560577392578,0.7042560577392578,False,True
8,0.052051156759262085,0.11074613779783249,0.12088991701602936,0.26550230383872986,0.3580268621444702,0.3580268621444702,True,True
9,0.002473578555509448,0.002669884357601404,0.012342913076281548,0.4309285283088684,0.5502279996871948,0.5502279996871948,False,True
10,0.014681978151202202,0.050744038075208664,0.05511370673775673,0.3116573095321655,0.480270653963089,0.480270653963089,True,True
11,0.011368947103619576,0.013559229671955109,0.014583809301257133,0.048283033072948456,0.7968369722366333,0.7968369722366333,False,True
12,0.0029372526332736015,0.0038338126614689827,0.13645537197589874,0.4081796407699585,0.4434248208999634,0.4434248208999634,False,True
13,0.0702110156416893,0.07179229706525803,0.07396668940782547,0.09083563089370728,0.2030954658985138,0.2030954658985138,False,False
14,0.01105269230902195,0.04858294129371643,0.09890467673540115,0.3005340099334717,0.5326765179634094,0.5326765179634094,True,True
15,0.022874465212225914,0.03340989723801613,0.04153664410114288,0.35653507709503174,0.48289039731025696,0.48289039731025696,True,True
16,6.275461055338383e-05,0.0001768503279890865,0.005197432357817888,0.017543712630867958,0.9766939878463745,0.9766939878463745,False,True
17,0.048532966524362564,0.05039151757955551,0.09551429003477097,0.11700869351625443,0.35847195982933044,0.35847195982933044,False,True
18,0.027119219303131104,0.04426136240363121,0.14597387611865997,0.14692863821983337,0.3016842007637024,0.3016842007637024,False,True
19,0.0039042439311742783,0.07832526415586472,0.11894072592258453,0.2512563467025757,0.5472139120101929,0.5472139120101929,True,True
20,0.04102609306573868,0.08566071838140488,0.14018277823925018,0.17509400844573975,0.24750138819217682,0.24750138819217682,False,False
