Image number,Rank5,Rank4,Rank3,Rank2,Rank1,Label probability,Top 1 evaluation,Top 5 evaluation
1,0.0002478651877027005,0.0003305441059637815,0.0013155731139704585,0.0014518221141770482,0.9946139454841614,"tensor(0.9946, device='cuda:0')",True,True
2,3.2924628612818196e-05,3.913253385690041e-05,5.453816265799105e-05,0.00026933939079754055,0.9994093179702759,"tensor(0.9994, device='cuda:0')",True,True
3,0.0010085301473736763,0.0022553033195436,0.008781691081821918,0.01521313190460205,0.9659870266914368,"tensor(0.9660, device='cuda:0')",True,True
4,0.0384492427110672,0.04359014704823494,0.13703389465808868,0.16295276582241058,0.528836727142334,"tensor(0.5288, device='cuda:0')",True,True
5,0.05702356994152069,0.08423054218292236,0.09563833475112915,0.15540356934070587,0.4170973300933838,"tensor(0.4171, device='cuda:0')",True,True
6,0.09673155844211578,0.131649911403656,0.13979408144950867,0.14272375404834747,0.15167443454265594,"tensor(0.0202, device='cuda:0')",False,False
7,0.05180499702692032,0.07810290157794952,0.08847425132989883,0.09594661742448807,0.41189712285995483,"tensor(0.4119, device='cuda:0')",True,True
8,0.06099691241979599,0.07492665946483612,0.19953136146068573,0.2293873429298401,0.26254481077194214,"tensor(0.1995, device='cuda:0')",False,True
9,0.0003998572938144207,0.0005094513180665672,0.000994535512290895,0.001224967883899808,0.9946034550666809,"tensor(0.9946, device='cuda:0')",True,True
10,0.0008672743570059538,0.0016792203532531857,0.0023992364294826984,0.024187562987208366,0.9663955569267273,"tensor(0.9664, device='cuda:0')",True,True
11,0.01913490891456604,0.052046921104192734,0.06651628762483597,0.1117386668920517,0.6003457903862,"tensor(0.6003, device='cuda:0')",True,True
12,0.014249670319259167,0.014311976730823517,0.0230964757502079,0.06668023020029068,0.835369348526001,"tensor(0.8354, device='cuda:0')",True,True
13,0.01887858286499977,0.022357402369379997,0.03420785069465637,0.22343197464942932,0.5326091647148132,"tensor(0.2234, device='cuda:0')",False,True
14,0.01596168614923954,0.017117606475949287,0.020126333460211754,0.031431324779987335,0.6815832853317261,"tensor(0.0146, device='cuda:0')",False,False
15,0.022345779463648796,0.10166920721530914,0.12252215296030045,0.14474686980247498,0.5608523488044739,"tensor(0.5609, device='cuda:0')",True,True
16,0.031200695782899857,0.048819392919540405,0.05325355380773544,0.11958738416433334,0.7227796316146851,"tensor(0.7228, device='cuda:0')",True,True
17,0.04084102809429169,0.05152204632759094,0.09239441901445389,0.20801320672035217,0.3800811469554901,"tensor(0.0153, device='cuda:0')",False,False
18,0.01307626161724329,0.021519096568226814,0.040684159845113754,0.30873507261276245,0.5550483465194702,"tensor(0.3087, device='cuda:0')",False,True
19,0.006363671738654375,0.006478376220911741,0.01780238002538681,0.04462072253227234,0.898327648639679,"tensor(0.8983, device='cuda:0')",True,True
20,0.0032053724862635136,0.005419483408331871,0.00834587961435318,0.033705562353134155,0.9405331611633301,"tensor(0.9405, device='cuda:0')",True,True
