Image number,Rank5,Rank4,Rank3,Rank2,Rank1,Label probability,Top 1 evaluation,Top 5 evaluation
1,0.0002278665779158473,0.00023984196013770998,0.0009751273901201785,0.024918342009186745,0.9724153280258179,0.9724153280258179,True,True
2,0.00474077882245183,0.005632402375340462,0.005856855306774378,0.01176292821764946,0.9495017528533936,0.9495017528533936,True,True
3,0.001889950828626752,0.002807783195748925,0.00857678521424532,0.012675086967647076,0.9592893123626709,0.9592893123626709,True,True
4,0.0501277856528759,0.07581955194473267,0.089426688849926,0.10763723403215408,0.22542385756969452,0.22542385756969452,False,True
5,0.0013433382846415043,0.0031569069251418114,0.004510500002652407,0.41867637634277344,0.5659269690513611,0.5659269690513611,True,True
6,8.803070522844791e-05,0.00020424970716703683,0.017596732825040817,0.047388143837451935,0.9343951344490051,0.9343951344490051,True,True
7,0.0025828578509390354,0.002803243463858962,0.0035110453609377146,0.010832566767930984,0.9680357575416565,0.9680357575416565,True,True
8,0.009315536357462406,0.021202819421887398,0.10330192744731903,0.30218902230262756,0.5115257501602173,0.5115257501602173,True,True
9,9.691118611954153e-05,0.00022210858878679574,0.0006418656557798386,0.001907857833430171,0.9967398047447205,0.9967398047447205,True,True
10,0.0002845756243914366,0.0006229649297893047,0.0027872156351804733,0.025976350530982018,0.9691659212112427,0.9691659212112427,True,True
11,0.0003608869155868888,0.0006123136263340712,0.00240593240596354,0.003956919070333242,0.9924638271331787,0.9924638271331787,True,True
12,0.07339159399271011,0.0917779952287674,0.12982304394245148,0.15987585484981537,0.22452899813652039,0.22452899813652039,False,True
13,0.0073642912320792675,0.01286837924271822,0.012948989868164062,0.2787575125694275,0.6817725896835327,0.6817725896835327,True,True
14,0.014113985002040863,0.017152026295661926,0.018455760553479195,0.03128277510404587,0.8885736465454102,0.8885736465454102,True,True
15,0.0005765496753156185,0.0010957028716802597,0.003448944538831711,0.007995142601430416,0.9821354150772095,0.9821354150772095,True,True
16,0.0005820054211653769,0.0006485758349299431,0.0006994756404310465,0.0031184563413262367,0.9949402809143066,0.9949402809143066,True,True
17,0.0017693099798634648,0.0020653593819588423,0.004579748958349228,0.012495485134422779,0.9739190340042114,0.9739190340042114,True,True
18,0.08137456327676773,0.09372051805257797,0.09508861601352692,0.10278178006410599,0.2499890923500061,0.2499890923500061,False,True
19,0.01572214812040329,0.01947668194770813,0.019998623058199883,0.16071635484695435,0.7702968120574951,0.7702968120574951,True,True
20,0.014215061441063881,0.016345106065273285,0.035647887736558914,0.35124537348747253,0.5235012769699097,0.5235012769699097,False,True
